questions,model_answer,student_answer,teacher_marks,total_marks
What is biomedical engineering?,It applies engineering principles to solve problems in biology and medicine.,It applies engineering principles to solve problems in biolog...,5,5
How is artificial intelligence related to science?,It helps simulate intelligent behavior and understand human cognition.,It helps simulate intelligent behavior and understand people ...,4,5
What is an interdisciplinary field?,A field that combines two or more scientific disciplines.,A field that combines two or more scientific disciplines.,5,5
List two examples of interdisciplinary sciences that involve biology.,Biochemistry and Bioinformatics.,Biochemistry and Bioinformatics.,5,5
How does chemistry contribute to interdisciplinary science?,It combines with biology or physics to study matter and life processes.,It combines with biology or physics to study matter and life ...,3,5
Define complex systems in simple words.,They are systems made up of many interacting parts like climate or transport systems.,They are systems made up of many interacting parts like climat...,2,5
What makes cognitive science interdisciplinary?,"It integrates many fields like neuroscience, linguistics, and AI to study the mind.","It integrates many fields like neuroscience, linguistics, and...",3,5
How is ecology an interdisciplinary science?,"It includes biology, geography, and environmental science to study organisms and their environments.","It includes biology, geography, and environmental scince to s...",2,5
What role does computer science play in cognitive science?,It helps in modeling and simulating mental processes.,It helps in modeling and simulating mental processes.,4,5
What is scientific collaboration?,Scientists working together to achieve a common research goal.,Scientists workin together to achieve a common resurch goal.,3,5
Give one example of international scientific collaboration.,The International Space Station project.,The International Space S,3,5
Who discovered the cell and when?,Robert Hooke discovered the cell in 1665.,Robert Hooke discovered the cel in 1665.,3,5
What material did Robert Hooke observe to discover cells?,He observed thin pieces of cork under a microscope.,He observed thin pieces of cork under a micros...,2,5
Why did Hooke name the structures he saw 'cells'?,Because they reminded him of small rooms in a monastery.,Because they reminded him of small rooms in a ...,4,5
What are cells called in terms of organism structure?,Cells are the structural and functional units of living things.,Cels are the strucural and funtional units of ...,5,5
How are new cells formed?,New cells are formed through cellular division.,New cels are formed through celular division.,2,5
Give one example each of a unicellular and multicellular organism.,"Amoeba (unicellular), Frog (multicellular).","Amoeba (unicelular), Frog (multicelular).",1,5
How do cells help in movement?,Muscle cells contract to move body parts.,Muscle cels contract to move body parts.,2,5
How are messages transmitted from brain to muscles?,Nerve cells transmit messages to muscle cells.,Nerve cels transmit messages to muscle cels.,3,5
What basic functions occur in all cells?,"Movement, respiration, growth, and reproduction.","Movment, resperation, growth, and reproductio...",4,5
Why are cells called functional units of life?,Because all life processes occur in cells.,Because all life processes occur in cels.,5,5
What are cell organelles?,Highly organized structures inside the cell.,Highly organized strucures inside the cel.,3,5
Name four non-organelle cell structures.,"Cell wall, cell membrane, cytoplasm, cytoskeleton.","Cel wall, cel membrane, cytoplazm, cytoskeleto...",2,5
Which types of organisms have cell walls?,"Plant cells, prokaryotes, fungi, and some protists.","Plant cels, prokaryotes, fungi, and some protists.",2,5
Do animal cells have cell walls?,"No, animal cells do not have cell walls.","No, animal cels do not have cel walls.",1,5
What is the function of the cell wall?,It protects and maintains the shape of the plant cell.,It protects and maintains the shape of the pla...,4,5
What is the nature of the cell wall?,It is porous and allows free passage of water and materials.,It is porous and allows free passage of water ...,2,5
What is the cell membrane?,It is the covering of the cytoplasm.,It is the covering of the cytoplazm.,2,5
Which cells have cell membranes?,All prokaryotic and eukaryotic cells.,All prokaryotic and eukaryotic cels.,2,5
Is the cell membrane permeable?,It is semipermeable.,It is semipermeable.,5,5
What does the cell membrane do?,It maintains internal cell composition.,It maintains internal cel compositon.,3,5
Where is cytoplasm located?,Between the plasma membrane and nuclear envelope.,Between the plasma membrane and nuclear envelo...,3,5
What does cytoplasm contain?,"Water, proteins, carbohydrates, lipids, and inorganic salts.","Water, proteins, carbohydrates, lipids, and in...",4,5
What is the function of cytoplasm?,It provides space for organelle functions and biochemical reactions.,It provides space for organelle funtion and bi...,3,5
Give one example of a cytoplasmic function.,Breakdown of glucose during respiration.,Breakdown of glucose during resperation.,3,5
What is the cytoskeleton?,A network of fine fibers supporting the cell.,A network of fine fibers supporting the cel.,4,5
What are the components of cytoskeleton?,"Microfilaments, macro-filaments, and intermediate filaments.","Microfilaments, macro-filaments, and intermedi...",2,5
What structures are made using cytoskeleton components?,Cilia and flagella.,Cilia and flagella.,5,5
What is the role of the cytoskeleton?,It is responsible for cell shape and movement.,It is responsible for cel shape and movment.,4,5
What does the cytoplasm provide for organelles?,Space to function.,Space to funtion.,3,5
Why is cytoplasm semi-viscous and semitransparent?,Because it contains dissolved substances like proteins and salts.,Because it contains dissolved substances like ...,3,5
What does the term 'organelles' mean?,"Organelles means 'little organs', which are small organized structures within the cytoplasm...",Organelles are little organs that do things in cells.,4,5
Where are organelles found in a cell?,Organelles are found within the cytoplasm of a cell.,They are in the liquid part of cell.,3,5
What is the function of the nucleus?,The nucleus controls all the activities of the cell.,Nucleus controls cell work.,4,5
What surrounds the nucleus?,The nucleus is surrounded by a double membrane called the nuclear envelope.,A membrane surrounds nucleus.,3,5
What is the fluid inside the nucleus called?,The fluid inside the nucleus is called nucleoplasm.,It's called nucleoplasm.,5,5
What is the dark-staining region in the nucleus?,The dark-staining region in the nucleus is called the nucleolus.,It is called nucleolus.,5,5
What are chromosomes made of?,Chromosomes are made of DNA and protein.,Chromosomes are made of DNA and proteins.,5,5
What is a centromere?,The centromere is a constriction in a chromosome.,It is a constriction in chromosome.,5,5
How many chromatids does a chromosome have?,A chromosome has two chromatids.,There are two chromatids.,5,5
What are ribosomes made of?,Ribosomes are made of equal amounts of RNA and proteins.,They are made of RNA and proteins.,5,5
Where are ribosomes found in a cell?,Ribosomes are either attached to the endoplasmic reticulum or freely dispersed in the cytoplasm.,They are attached to ER or in cytoplasm.,5,5
What are the two types of endoplasmic reticulum?,The two types of endoplasmic reticulum are smooth ER and rough ER.,Smooth ER and rough ER.,5,5
Which ER has ribosomes?,Rough endoplasmic reticulum has ribosomes attached to it.,Rough ER has ribosomes.,5,5
What is the function of rough ER?,Rough ER is involved in protein synthesis.,It makes proteins.,4,5
What is the function of smooth ER?,Smooth ER helps in lipid formation and detoxification of drugs.,It helps make fats and clean drugs.,4,5
Who discovered the Golgi apparatus?,Golgi apparatus was discovered by Camillo Golgi in 1898.,It was found by Camillo Golgi.,4,5
What is the structure of Golgi apparatus?,Golgi apparatus is a stack of flattened sacs formed of membranes.,It is flat sacs of membranes.,4,5
Where is the cis face of Golgi directed?,The cis face of Golgi is directed towards the endoplasmic reticulum.,It faces ER.,4,5
What does the Golgi apparatus receive?,Golgi apparatus receives vesicles that bud off from the ER.,It gets vesicles from ER.,4,5
What does the Golgi apparatus produce?,"Golgi apparatus modifies vesicles, stores secretion, and gives rise to lysosomes.",It makes lysosomes and stores things.,4,5
What do lysosomes contain?,"Lysosomes contain hydrolytic enzymes that break down proteins, nucleic acids, lipids and carbohydrates.",Lysosomes have enzymes that break things.,4,5
What is the function of lysosomes?,Lysosomes serve as recycling centers for damaged organelles.,They clean and recycle old parts.,4,5
What is the shape of lysosomes?,Lysosomes are roughly spherical structures bounded by a single membrane.,They are round and have one membrane.,5,5
What is the function of mitochondria?,Mitochondria produce energy in the form of ATP.,They make ATP energy.,5,5
What is the structure of mitochondria?,Mitochondria have a double membrane with inner folds called cristae.,They have two membranes and folds called cristae.,5,5
What is the mitochondrial fluid called?,The mitochondrial fluid is called matrix.,It is called matrix.,5,5
What is found in mitochondria?,"Mitochondria contain DNA, ribosomes, and enzymes.",Mitochondria have DNA and ribosomes.,4,5
What is the centrosome?,Centrosome is a structure formed by a pair of centrioles placed at right angles near the nucleus.,Centrosome has two centrioles near nucleus.,4,5
What happens to centrioles before cell division?,Centrioles duplicate and move to opposite sides of the nucleus.,They copy and go to opposite sides.,4,5
What is the role of spindle fibers?,Spindle fibers form between opposite pairs of centrioles and help in cell division.,Spindle fibers help in dividing cell.,4,5
What surrounds a plant cell to give it structure?,A plant cell is surrounded by a rigid cell wall.,Plant have hard cover,1,5
Do animal cells have a cell wall?,"No, animal cells do not have a cell wall.",no wall in animals,1,5
How many vacuoles are present in a plant cell?,Plant cells have one large central vacuole.,Plant have big water store,1,5
How do vacuoles in animal cells differ from those in plant cells?,Animal cells have many small vacuoles while plant cells have one large vacuole.,animal vacuole small and many,1,5
Do animal cells contain plastids?,"No, plastids are absent in animal cells.",no plastid in animal,1,5
What organelles are found in both plant and animal cells?,"Cytoplasm, nucleus, ribosomes, endoplasmic reticulum, Golgi apparatus, and mitochondria.",they both have things like cell stuff,1,5
Which organelle is present in plant cells for photosynthesis?,Chloroplast is present in plant cells for photosynthesis.,plant cell have photosyntesis thing,1,5
Do animal cells perform photosynthesis?,"No, animal cells do not perform photosynthesis.",no photo in animals,1,5
Which type of cell is usually larger?,Plant cells are usually larger than animal cells.,plants are big cell,1,5
What is the function of the large vacuole in plant cells?,It is used for storage and maintaining the shape of the cell.,plant vacuole keep it shape,1,5
Are centrosomes present in animal cells?,"Yes, animal cells have centrosomes.",animal got center-something,1,5
Are lysosomes found in animal cells?,"Yes, animal cells contain lysosomes.",yes animal have lysome,1,5
Do plant cells have cilia?,"No, plant cells do not have cilia.",plant don't have that,1,5
Which type of cell has more visible lysosomes?,Animal cells have more visible lysosomes than plant cells.,animal got more of it,1,5
What helps the plant cell maintain its shape?,The large central vacuole helps maintain the shape of the plant cell.,shape from big thing inside,1,5
What are plastids responsible for in plant cells?,Plastids are involved in food storage and photosynthesis in plant cells.,plastid do food and photo,1,5
What is the outer boundary of an animal cell?,The cell membrane is the outer boundary of an animal cell.,animal has cover,1,5
Which cell has rigid structure around it?,Plant cells have a rigid structure due to the cell wall.,plant has hard outer,1,5
Name one organelle not found in animal cells.,Chloroplasts are not found in animal cells.,no green part in animal,1,5
What part of the cell is used for storage in both cells?,Vacuoles are used for storage in both plant and animal cells.,vacuole store in both,1,5
What is a tissue?,A tissue is a group of cells with similar structure and function working together to perform a specific activity.,Tissues are made of cells and do things in body.,2,5
What are the two main types of plant tissues?,Simple tissues and compound tissues.,Plant has simple and complex tissue.,2,5
What are meristematic tissues?,Meristematic tissues are composed of cells that have the power of division and are found at the apex of the root and shoot.,Meristem is growing part of plant where cell divide.,2,5
What is the function of permanent tissue?,Permanent tissue cells do not divide and perform specific functions in the plant.,Permanent tissue do work in plant and dont grow.,2,5
What is the function of epidermal tissue?,It covers the plant body and protects it; allows gas exchange through stomata.,Epidermis is plant covering and help plant.,2,5
Where is the epidermis found in plants?,"On the root, stem, and leaf of the plant.",It is on plant parts like root and leaf.,2,5
What are stomata and what is their function?,Stomata are pores on the leaf epidermis that allow gas exchange.,Stomata are holes in leaf for gases.,2,5
Name the two types of compound tissues.,Xylem and Phloem.,Xylem and pholem.,2,5
What is the function of xylem?,Xylem conducts water and mineral salts and provides structural support to the plant.,Xylem carry water and give strength.,2,5
What are the two main cell types in xylem?,Tracheids and vessels.,Vessels and tracheids.,2,5
What is a tracheid?,"A tracheid is a dead, elongated cell with lignified walls that help in water conduction and support.",Tracheids are long hollow cells that move water.,2,5
What are vessels in xylem?,"Vessels are long tubular dead cells formed by fusion of cells, and they conduct water.",Vessels are tubes in plant that carry water.,2,5
What is the function of phloem?,Phloem conducts food from leaves to other parts of the plant.,Phloem moves food in plant.,2,5
What are sieve tube elements?,Sieve tube elements are living cells with porous end walls that conduct food in phloem.,Sieve tube move food and have holes.,2,5
What are companion cells?,Companion cells are connected to sieve tubes and help in regulating food transport.,They help sieve tube to work.,2,5
What are the four main animal tissues?,"Epithelial, connective, muscular, and nervous tissues.",Animals have 4 tissue types like muscle and nerve.,2,5
What is epithelial tissue?,Epithelial tissue is a sheet of tightly packed cells that covers surfaces and lines cavities.,It is cover of body and inside body.,2,5
Where is squamous epithelium found?,"In alveoli of lungs, blood vessels, and cheeks.",In lungs and blood tubes.,2,5
What is the function of cuboidal epithelium?,It helps in secretion and absorption; found in kidney tubes and ducts.,It do absorption in kidney.,2,5
Where is ciliated epithelium found and what is its function?,In respiratory passages; it transports materials using cilia.,Cilia cells are in air pipe and move things.,2,5
What is the main function of connective tissue?,Connective tissue connects and supports the body's various tissues and organs.,Connective tissue helps to support organs and tissues in the body.,3,5
Name any two specialized connective tissues.,"Specialized connective tissues include cartilage, bone, adipose (fat) tissue, and blood.",Cartilage and blood are types of connective tissue.,3,5
Where is adipose tissue found in the human body?,Adipose tissue is found under the skin and between internal organs.,Adipose tissue is found under the skin.,3,5
What are the functions of adipose tissue?,Adipose tissue stores and releases energy and provides insulation.,Adipose tissue stores energy and keeps the body warm.,3,5
What type of fibers are found in dense connective tissue?,Dense connective tissue contains collagen fibers and elastin fibers.,Collagen and elastin fibers are in connective tissues.,3,5
Where is dense connective tissue found?,It is found in structures such as tendons and ligaments.,Dense connective tissue is found in tendons.,3,5
What is the function of areolar tissue?,Areolar tissue holds organs in place and attaches epithelial tissue to other tissues.,Areolar tissue holds organs and connects tissues.,3,5
Define muscle tissue.,Muscle tissue is a type of contractile tissue composed of muscle cells.,Muscle tissue helps in movement and is made of muscle cells.,3,5
Why are muscle cells also called muscle fibers?,They are called muscle fibers because of their large size and elongated shape.,Muscle cells are long and big so they are called fibers.,3,5
Name the three types of muscle tissues.,"The three types are striated (skeletal), smooth, and cardiac muscles.","Striated, smooth, and cardiac muscles.",3,5
What is another name for striated muscles?,Striated muscles are also called skeletal muscles.,Skeletal muscles are striated.,3,5
Where are striated muscles found?,Striated muscles are attached to bones and help in body movement.,They are found with bones to move the body.,3,5
What is another name for smooth muscles?,Smooth muscles are also called involuntary or un-striated muscles.,Smooth muscles are also called involuntary muscles.,3,5
How many nuclei are present in smooth muscle cells?,Smooth muscle cells contain a single nucleus.,Smooth muscle has one nucleus in each cell.,3,5
Where are smooth muscles found?,Smooth muscles are present in the walls of internal organs.,They are found inside the organs.,3,5
Describe the structure of cardiac muscles.,"Cardiac muscles are branched, have light and dark bands, and one nucleus per cell.",Cardiac muscles are branched and have one nucleus.,3,5
Where are cardiac muscles found?,Cardiac muscles are found in the heart.,Cardiac muscles are in the heart.,3,5
What is the function of intercalated discs in cardiac muscles?,They allow electrical transmission so that cells beat as one.,They help the heart cells beat together.,3,5
What makes cardiac muscles different from striated muscles?,"Cardiac muscles are branched and form a network, while striated muscles are unbranched.",Striated are straight and cardiac are branched.,3,5
Which muscle type is multinucleated?,Striated (skeletal) muscle is multinucleated.,Striated muscles have many nuclei.,3,5
What are neurons?,Neurons are the cells of the nervous system responsible for coordination in the body.,Neurons are cells that help body to work.,2,5
What are the main parts of a neuron?,"A neuron has a cell body, dendrites, and axons.",A neuron has cell and fibres.,2,5
What is the function of dendrites?,Dendrites conduct nerve impulses to the cell body.,Dendrites send signals.,2,5
What is the function of axons?,Axons conduct messages away from the cell body.,Axons carry messages from the cell.,2,5
How do neurons help in communication?,Dendrites and axons help neurons communicate with far away cells in the body.,Neurons talk to other cells by axon and dendrites.,2,5
What is an atom?,"An atom is the smallest unit of matter that cannot be divided further and consists of protons, neutrons, and electrons.",Atom is a small thing.,1,5
What are the three main parts of an atom?,"Protons, neutrons, and electrons.",Proton and electron.,1,5
Where are protons located in an atom?,Protons are located in the nucleus of the atom.,Proton is in the atom.,1,5
What is the charge of an electron?,The charge of an electron is -1 (negative).,Electron is small and negative.,1,5
What is the nucleus of an atom?,The nucleus is the central part of the atom containing protons and neutrons.,It is in the middle.,1,5
What is an isotope?,Isotopes are atoms of the same element that have the same number of protons but different numbers of neutrons.,Isotopes are same atom.,1,5
What makes atoms of different elements different?,The number of protons in their nuclei.,Because they look different.,1,5
What does the atomic number tell us?,The atomic number tells us the number of protons in an atom.,It shows atom.,1,5
What is the charge of a neutron?,Neutrons have no charge (neutral).,It has no power.,1,5
Where are electrons found in an atom?,Electrons are found in the shells or orbitals around the nucleus.,They are outside.,1,5
What determines the mass number of an atom?,The mass number is the total number of protons and neutrons in an atom.,Mass is big number.,1,5
How are isotopes of an element similar?,Isotopes have the same number of protons and electrons.,They are the same atom.,1,5
How are isotopes of an element different?,Isotopes have different numbers of neutrons.,They look different.,1,5
What is the charge of a proton?,A proton has a positive charge (+1).,It is plus.,1,5
What is meant by atomic mass?,Atomic mass is the average mass of all the isotopes of an element.,It is the weight.,1,5
What are orbitals?,Orbitals are regions around the nucleus where electrons are likely to be found.,It's where electrons go.,1,5
Why are atoms neutral?,Because they have equal numbers of protons and electrons.,Because they are same.,1,5
What is the smallest unit of matter?,An atom is the smallest unit of matter.,Tiny thing.,1,5
What holds the nucleus together?,The strong nuclear force holds the protons and neutrons together in the nucleus.,They are joined.,1,5
What is the role of neutrons in the atom?,Neutrons add mass and stabilize the nucleus of an atom.,They are inside.,1,5
What is the atomic number?,The atomic number is the number of protons in an atom.,Atomic number is the size of atom.,1,5
What is the mass number?,Mass number is the total number of protons and neutrons in an atom.,It is number of protons.,1,5
What is an isotope?,Isotopes are atoms of the same element with same number of protons but different number of neutrons.,Isotope is a different element.,1,5
Where are protons located in an atom?,Protons are located in the nucleus.,Protons are present in the shells.,1,5
What is the charge of a neutron?,A neutron has no charge.,Neutron is negative.,1,5
Define atomic mass.,Atomic mass is the average mass of all isotopes of an element.,Atomic mass is the weight of protons.,2,5
What are electrons and where are they found?,Electrons are negatively charged particles found in shells around the nucleus.,Electrons are in nucleus and are positive.,1,5
Who discovered the nucleus of the atom?,Ernest Rutherford discovered the nucleus through the gold foil experiment.,Bohr discovered nucleus.,1,5
What is the nucleus?,"The nucleus is the dense, positively charged center of an atom that contains protons and neutrons.",Nucleus is the outer part of atom.,1,5
What is the Bohr model of the atom?,Bohrs model states that electrons move in fixed orbits or shells around the nucleus with specific energy levels.,Bohr said electrons are moving freely.,2,5
What happens when electrons jump between energy levels?,Electrons absorb energy to jump to higher levels and emit energy when moving to lower levels.,Electrons stop working.,1,5
What is meant by electronic shell?,Electronic shells are the orbits or energy levels around the nucleus where electrons revolve.,Shells are the outer layer of atom like skin.,2,5
What are quantum numbers?,"Quantum numbers are integers (n=1,2,3...) that represent energy levels of electrons in atoms.",Quantum number is a big number.,1,5
Why are isotopes of the same element chemically similar?,They have the same number of protons and electrons.,Because they have different neutrons.,1,5
What did Rutherford conclude from his gold foil experiment?,That most of the atom is empty space and the mass is concentrated in a tiny dense nucleus.,He found atom is a circle.,1,5
What is the charge and mass of an electron?,Electrons have a negative charge and negligible mass (0.0005 amu).,Electron is heavy and positive.,1,5
What is the ground state of an electron?,The ground state is the lowest energy level an electron can occupy.,It is when the atom is on the ground.,1,5
How do isotopes differ from each other?,They differ in the number of neutrons and mass number.,They differ because they have different elements.,1,5
What does the periodic table use to organize elements?,It uses atomic number to arrange the elements.,It uses size and weight.,2,5
How are electrons arranged in an atom according to Bohrs model?,Electrons revolve in specific energy levels or shells around the nucleus.,They just move in any way.,1,5
What is nutrition in living things?,Nutrition is the process by which living things get or make food to stay alive.,Nutrition is when things eat food to stay good.,2,5
How do plants obtain food?,Plants make their own food through photosynthesis.,Plants eat food from the ground.,1,5
How do animals obtain food?,Animals get food from other living things.,Animals find food in jungle.,2,5
What is growth in living things?,"Growth is an increase in size, height, and weight over time.",Growth is when we become tall.,3,5
Give an example of growth in humans.,A baby grows into an adult.,A kid turns into a grown.,2,5
What is breathing?,Breathing is the process of taking in oxygen and giving out carbon dioxide.,Breathing is air coming in body.,2,5
Why is breathing important?,Breathing provides oxygen for the bodys functions.,So we dont die.,1,5
How do animals breathe?,"Animals breathe through lungs, gills, or skin depending on the species.",Animals just breathe air.,2,5
What is sensitivity in living things?,Sensitivity is the ability to respond to changes in the environment.,Sensitive means soft things.,1,5
Give an example of plant sensitivity.,Touch-me-not folds its leaves when touched.,A plant falls when you touch.,2,5
How do humans show sensitivity?,"By reacting to heat, cold, pain, etc.",When we feel pain.,3,5
What is movement in animals?,"Animals move using muscles, legs, wings, or fins.",Movement is walking.,2,5
How do birds move?,Birds move by flying using wings.,Bird move with wings and feets.,3,5
How do snakes move?,Snakes move using muscles by slithering.,Snake crawl with skin.,1,5
Do plants move? Give an example.,"Yes, parts of plants move like opening/closing of flowers.","No, plants never move.",0,5
What is reproduction?,Reproduction is the process of producing young ones of the same kind.,Reproduction is when babies born.,3,5
Give an example of reproduction in animals.,A cat reproduces kittens.,Dog make doggies.,2,5
Give an example of reproduction in plants.,Coconut plants produce new coconut plants.,Trees make more trees.,3,5
What do living things inherit from their parents?,They inherit characteristics like body structure.,They look same as father.,2,5
How do birds inherit traits?,"Birds inherit features like wings, feathers, beaks, and claws from parents.",Baby bird has wings from big bird.,2,5
What is elimination of waste?,It is the process of removing unwanted materials from the body.,Taking out dirty things from body.,3,5
How do animals eliminate waste?,Animals eliminate waste through urine and feces.,They go toilet.,1,5
What waste do plants produce?,Plants produce waste like gums and resins.,Plants waste is leaves.,1,5
Why must waste be removed from living things?,Because waste can be harmful if kept inside the body.,Waste makes body bad.,2,5
What is death in living things?,Death is the end of life when body functions stop.,Death is when someone is gone.,2,5
Why do living things die?,"They die due to diseases, age, accidents, or predators.","When old, they die.",3,5
Give an example of an animal dying naturally.,A horse may die of old age.,Cat die when old.,3,5
Give an example of plant growth.,A seed grows into a tree.,Tree become big.,2,5
How does the shoot show movement in a plant?,The shoot bends towards light as it grows.,It go near sun.,2,5
List any 3 characteristics of living things.,"Nutrition, growth, sensitivity.","Eat, move, die.",2,5
What is energy?,Energy is the ability to do work.,Enerjy is what helps living do things.,2,5
Why do living things need energy?,"Living things need energy to grow, move, stay warm, and remain healthy.",To move and be live.,2,5
How do plants get their energy?,Plants get energy from sunlight through photosynthesis.,Plants take sun and make food.,3,5
What is photosynthesis?,"Photosynthesis is the process in which plants use sunlight, carbon dioxide, and water to make oxygen and sugar.",Plants do photosynthesis with light and water to make sugar and oxgen.,4,5
Where does photosynthesis take place?,Photosynthesis takes place in the green leaves of the plant.,It happens in plant.,1,5
What do plants produce during photosynthesis?,Plants produce simple sugar and oxygen during photosynthesis.,Plant make sugar and air.,2,5
What is the role of sunlight in photosynthesis?,Sunlight provides the energy needed for photosynthesis to occur.,Sunlight help plants in food making.,3,5
What do animals depend on for energy?,Animals depend on plants (directly or indirectly) for energy.,Animal take energy from plant and also from meat.,3,5
Give an example of an animal that eats only plants.,"Cow, goat, and horse are animals that eat only plants.",Cow eat grass.,4,5
Give an example of an animal that eats both plants and animals.,"Humans, dogs, and foxes eat both plants and animals.",Humans eat meat and also fruits.,4,5
How do humans get energy?,Humans get energy from the food they eat.,We eat food to get energy.,5,5
What do our bodies do with energy?,Our bodies use energy for movement and to perform body functions.,Energy helps body to move.,3,5
What happens to energy in our body?,Our body transforms energy into other forms like movement.,We use energy and move.,2,5
Name the three things required for photosynthesis.,"Water, carbon dioxide, and sunlight are required for photosynthesis.","Light, CO2 and water need.",4,5
Which part of the plant uses sunlight for photosynthesis?,The green leaves absorb sunlight for photosynthesis.,Leaves catch sunlight.,4,5
What do plants need to survive?,"Plants need air, light, water, nutrients, and space to survive.","Plants need water, sun and soil.",3,5
What gases are found in air?,"Air contains nitrogen, oxygen, carbon dioxide, and water vapour.","Air has O2, CO2, and water.",4,5
How do plants use carbon dioxide?,Plants use carbon dioxide during photosynthesis to make food.,CO2 is use by plants to food.,3,5
Why do plants need oxygen?,Plants need oxygen for respiration to break down sugar for energy.,Plants breath oxygen like us.,2,5
What is respiration in plants?,Respiration is the process of breaking down sugar to release energy.,Plants make energy from sugar.,3,5
What is the function of light for a plant?,Light is used as a source of energy in photosynthesis.,Light is for food making.,4,5
Why is water important for plants?,Water is used in photosynthesis and helps in transporting minerals.,Water helps plant in photosynthis.,3,5
What happens if a plant gets too little water?,The plant may wilt or droop.,It become droopy.,4,5
What are nutrients?,Nutrients are substances that nourish plants like nitrogen and potassium.,Nutrients are good for plants to grow.,3,5
How do plants get nutrients?,Plants absorb nutrients dissolved in water through their roots.,From soil roots take nutrients.,4,5
Name any two nutrients plants need.,Plants need nitrogen and phosphorus.,Plants need nitrogen and water.,3,5
What do plant roots need space for?,Roots need space to spread and absorb water and nutrients.,Root need space to grow.,3,5
Why do plant leaves need space?,Leaves need space to get enough light for photosynthesis.,So light can reach.,3,5
What happens to overcrowded plants?,Overcrowded plants become less healthy.,They dont grow good.,2,5
Why is space important for plant growth?,Space is needed for roots to grow and leaves to get sunlight.,Plant needs space to live.,3,5
What are the two main classifications of plants?,Flowering and non-flowering plants.,Flower and no flower plants.,2,5
Give two examples of flowering plants.,Rose and sunflower.,Ros and sunfllower.,2,5
What is a flowering plant?,A plant that produces flowers.,A plant that make flower.,3,5
Give two examples of non-flowering plants.,Moss and fern.,Moss and fernss.,2,5
What are non-flowering plants?,Plants that do not produce flowers.,Plants not have flowers.,2,5
Name one plant that is a conifer.,Pine.,Pinee.,2,5
What is a monocot plant?,A flowering plant with one cotyledon.,It have one seed.,2,5
Name two monocot plants.,Rice and wheat.,Rice and Weet.,3,5
What is a dicot plant?,A flowering plant with two cotyledons.,It has 2 part of seed.,2,5
Name two dicot plants.,Pea and gram.,pea and gram,5,5
Is mango a monocot or dicot plant?,Dicot plant.,Monocot plant.,1,5
Is maize a monocot or dicot plant?,Monocot plant.,Dicot plant.,1,5
How many cotyledons does a monocot seed have?,One.,It has one part.,2,5
How many cotyledons does a dicot seed have?,Two.,two part in seed.,3,5
Are ferns flowering or non-flowering plants?,Non-flowering.,Flower plant.,1,5
Is rose a flowering plant?,Yes.,Yes it is.,5,5
Name a shrub that is a flowering plant.,Rose.,Rose tree.,3,5
"What are herbs, shrubs, and trees?",Types of flowering plants.,Parts of plant.,1,5
Give one use of flowering plants.,They help in reproduction.,It make plant beauty.,3,5
Do all plants produce flowers?,No.,Yes all plant do.,1,5
What is the function of cotyledons?,They store food for the growing seedling.,They give food.,3,5
What color can flowering plants be?,Various colors.,Mostly red color.,2,5
Are conifers flowering or non-flowering?,Non-flowering.,Flowering.,1,5
What kind of plant is bamboo?,Monocot.,Dicot.,1,5
Are peas monocots or dicots?,Dicots.,Monocot.,1,5
Which group includes moss?,Non-flowering plants.,It is flowering.,1,5
Is sugarcane a monocot or dicot?,Monocot.,Dicot.,1,5
What are cotyledons?,Seed leaves in a seed.,Cotyledon is plant part.,2,5
Which plant has two seed leaves?,Dicot plant.,Monocot plant.,1,5
Are herbs flowering plants?,"Yes, they can be.","No, they not.",1,5
Name the five main parts of a flowering plant.,"Root, stem, leaf, flower, seed","Root, stem, leaf, fruits, bud",3,5
What is the function of roots?,Roots anchor plants and absorb water and minerals.,Root fix plant and take water.,2,5
Where is the root located?,Under the ground,Under plant on soil,2,5
What does the stem do in a plant?,It transports water and minerals from roots to leaves and supports the plant.,Stem move water to leaf and hold plant.,3,5
Name one part of the plant that makes food.,Leaf,flower make food,1,5
What is the colour of most leaves?,Green,greenish,2,5
What do flowers produce?,Flowers produce fruits and seeds.,Flowers make seed and tree,2,5
Name a function of leaves.,Leaves make food for the plant.,Leaves take food from air,2,5
What are root hairs?,Tiny threads on roots that absorb water and minerals.,Small hair on root to drink water,2,5
What is transpiration?,Evaporation of water through pores in the leaves.,Water going from leave is transpiration,3,5
How does water move in a plant?,Water moves through tubes from roots to stem to leaves.,Water go in tube to plant up,2,5
What helps roots absorb water?,Root hairs help absorb water.,Hair of root help drink,2,5
What part of plant supports it above the ground?,Stem,Branch,1,5
What helps the plant to stand in soil?,Roots anchor the plant.,Roots stand the tree,2,5
Where does photosynthesis occur?,In the leaves,In flower,1,5
Which part has tiny pores for transpiration?,Leaves,Roots,1,5
Why is water important for plants?,Water is needed for photosynthesis and transport of minerals.,Plants drink water to live,2,5
How does stem help in transportation?,It carries water and minerals from roots to leaves.,Stem move water to all plant,3,5
How are flowers different in plants?,Flowers are of different sizes and colours.,All flowers are same color,1,5
What happens if roots dont absorb water?,The plant cannot make food or stay healthy.,Plant die if no water come from root,3,5
Why are leaves important to the plant?,They make food through photosynthesis.,Leaves are green and nice,1,5
What is the role of tubes in plants?,To transport water and minerals.,Tubes are like blood of plant,3,5
What causes water to move up in plants?,Transpiration pulls water upward.,Water go up when plant need,2,5
